,Area_unit_2013_code,Area_unit_2013_label,Victimisations,Population,Urban_area_2013_code,Urban_area_2013_label,Urban_area_type,Rate,Safe_Label
2019,527007,Horsham Downs,0,5440,6,Hamilton Zone,Main urban area,0.0,True
1819,541347,Motuoapa,0,250,502,Rural (Incl.some Off Shore Islands),Rural area,0.0,True
1820,521115,Opuawhanga,0,250,101,Pukekohe,Secondary urban area,0.0,True
1821,526106,Pukeoware,0,250,215,Waiuku,Minor urban area,0.0,True
1822,609014,Kingston South,0,260,502,Rural (Incl.some Off Shore Islands),Rural area,0.0,True
1823,587902,Mcleans Island,0,260,22,Christchurch,Main urban area,0.0,True
1824,536611,Matakana Island,0,260,502,Rural (Incl.some Off Shore Islands),Rural area,0.0,True
1818,553301,Rahotu,0,250,501,Rural Centre,Rural area,0.0,True
1825,521134,Paparata,0,260,502,Rural (Incl.some Off Shore Islands),Rural area,0.0,True
1827,601500,Aramoana,0,280,23,Dunedin,Main urban area,0.0,True
1828,501612,Opua West,0,280,502,Rural (Incl.some Off Shore Islands),Rural area,0.0,True
1829,607000,Clinton,0,290,501,Rural Centre,Rural area,0.0,True
1830,532502,Kuratau,0,290,502,Rural (Incl.some Off Shore Islands),Rural area,0.0,True
1831,607200,Owaka,0,300,501,Rural Centre,Rural area,0.0,True
1832,612300,Ohai,0,300,501,Rural Centre,Rural area,0.0,True
1826,610073,Woodlands,0,280,501,Rural Centre,Rural area,0.0,True
1833,584922,Blackball,0,300,501,Rural Centre,Rural area,0.0,True
1817,531600,Taharoa,0,250,502,Rural (Incl.some Off Shore Islands),Rural area,0.0,True
1815,552900,Midhirst,0,240,502,Rural (Incl.some Off Shore Islands),Rural area,0.0,True
1801,532200,Omori,0,200,502,Rural (Incl.some Off Shore Islands),Rural area,0.0,True
1802,600312,Mt Cook,0,210,501,Rural Centre,Rural area,0.0,True
1803,586504,Silverstream,0,210,22,Christchurch,Main urban area,0.0,True
1804,527937,Allen Road,0,210,8,Te Awamutu Zone,Main urban area,0.0,True
1805,541348,Tokaanu,0,210,502,Rural (Incl.some Off Shore Islands),Rural area,0.0,True
1806,600811,Pukeuri,0,220,114,Oamaru,Secondary urban area,0.0,True
1816,512905,Oratia West,0,240,3,Western Auckland Zone,Main urban area,0.0,True
1807,612713,Mossburn,0,220,502,Rural (Incl.some Off Shore Islands),Rural area,0.0,True
1809,584407,Little Wanganui,0,220,502,Rural (Incl.some Off Shore Islands),Rural area,0.0,True
