Index,Area_unit_2013_code,Area_unit_2013_label,Victimisations_calendar_year_2015,Population_mid_point_2015, Rate_per_10000_population , Rate_ratio_NZ_average_rate ,Urban_area_2013_code,Urban_area_2013_label,Urban_area_type,Territorial_authority_area_2013_code,Territorial_authority_area_2013_label,Region_2013_code,Region_2013_label
1,514102,Auckland Central West,550,15900,346,6.6,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
2,573101,Willis Street-Cambridge Terrace,447,8300,539,10.3,20,Wellington Zone,Main urban area,47,Wellington City,9,Wellington Region
3,529700,Hamilton Central,380,3170,"1,199",22.9,6,Hamilton Zone,Main urban area,16,Hamilton City,3,Waikato Region
4,514103,Auckland Central East,375,13250,283,5.4,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
5,591500,Cathedral Square,305,570,"5,351",102.3,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
6,514101,Auckland Harbourside,253,5680,445,8.5,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
7,524604,Manukau Central,192,900,"2,133",40.8,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
8,562800,Palmerston North Central,190,3060,621,11.9,16,Palmerston North,Main urban area,40,Palmerston North City,8,Manawatu-Wanganui Region
9,540410,Kuirau,168,1290,"1,302",24.9,10,Rotorua,Main urban area,24,Rotorua District,4,Bay of Plenty Region
10,538201,Tauranga Central,167,2270,736,14.1,9,Tauranga,Main urban area,23,Tauranga City,4,Bay of Plenty Region
11,603100,Stuart St-Frederick St,154,3360,458,8.8,23,Dunedin,Main urban area,71,Dunedin City,14,Otago Region
12,521901,Otahuhu West,148,5400,274,5.2,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
13,582500,Trafalgar,138,550,"2,509",48,21,Nelson,Main urban area,52,Nelson City,17,Nelson Region
14,548200,Hastings Central,130,2970,438,8.4,13,Hastings Zone,Main urban area,30,Hastings District,6,Hawke's Bay Region
15,544600,Gisborne Central,128,3380,379,7.2,11,Gisborne,Main urban area,28,Gisborne District,5,Gisborne Region
16,587821,Paparua,121,890,"1,360",26,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
17,609302,Queenstown Hill,113,4100,276,5.3,117,Queenstown,Secondary urban area,70,Queenstown-Lakes District,14,Otago Region
18,522202,Papatoetoe Central,109,5120,213,4.1,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
19,603000,High St-Stuart St,107,2540,421,8.1,23,Dunedin,Main urban area,71,Dunedin City,14,Otago Region
20,569100,Hutt Central,105,4070,258,4.9,18,Lower Hutt Zone,Main urban area,46,Lower Hutt City,9,Wellington Region
21,573000,Lambton,104,6000,173,3.3,20,Wellington Zone,Main urban area,47,Wellington City,9,Wellington Region
22,524602,Wiri,103,4390,235,4.5,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
23,551800,New Plymouth Central,102,680,"1,500",28.7,14,New Plymouth,Main urban area,33,New Plymouth District,7,Taranaki Region
24,514200,Newton,101,2170,465,8.9,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
25,570800,Porirua Central,96,410,"2,341",44.8,19,Porirua Zone,Main urban area,44,Porirua City,9,Wellington Region
26,511303,Lynnmall,94,2610,360,6.9,3,Western Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
27,581230,Blenheim Central,91,2790,326,6.2,26,Blenheim,Main urban area,53,Marlborough District,18,Marlborough Region
28,525910,Pukekohe North,91,9980,91,1.7,101,Pukekohe,Secondary urban area,76,Auckland,2,Auckland Region
29,609304,Queenstown Bay,90,2360,381,7.3,117,Queenstown,Secondary urban area,70,Queenstown-Lakes District,14,Otago Region
30,541720,Taupo Central,90,3900,231,4.4,103,Taupo,Secondary urban area,21,Taupo District,3,Waikato Region
31,525001,Manurewa Central,89,4830,184,3.5,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
32,503100,Whangarei Central,87,280,"3,107",59.4,1,Whangarei,Main urban area,2,Whangarei District,1,Northland Region
33,525410,Papakura Central,85,2290,371,7.1,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
34,546901,Nelson Park,82,2480,331,6.3,12,Napier Zone,Main urban area,31,Napier City,6,Hawke's Bay Region
35,524111,Mangere Central,82,3350,245,4.7,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
36,517001,Glen Innes West,82,5100,161,3.1,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
37,524200,Mangere South,81,7980,102,1.9,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
38,591600,Hagley Park,80,1040,769,14.7,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
39,510700,Henderson North,79,6290,126,2.4,3,Western Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
40,599500,Seaview,78,2540,307,5.9,113,Timaru,Secondary urban area,64,Timaru District,13,Canterbury Region
41,520500,Mt Wellington South,75,6200,121,2.3,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
42,523501,Otara North,74,1870,396,7.6,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
43,591700,Avon Loop,74,3670,202,3.9,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
44,611210,Otakaro Park,73,820,890,17,24,Invercargill,Main urban area,75,Invercargill City,15,Southland Region
45,594600,Sydenham,70,6280,111,2.1,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
46,566000,Paraparaumu Central,69,8920,77,1.5,25,Kapiti,Main urban area,43,Kapiti Coast District,9,Wellington Region
47,592702,Shirley East,68,3580,190,3.6,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
48,501700,Kaikohe,68,4370,156,3,208,Kaikohe,Minor urban area,1,Far North District,1,Northland Region
49,529100,Hamilton Lake,67,4370,153,2.9,6,Hamilton Zone,Main urban area,16,Hamilton City,3,Waikato Region
50,524901,Hillpark,67,5600,120,2.3,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
51,557100,Cooks Gardens,66,300,"2,200",42.1,15,Wanganui,Main urban area,37,Wanganui District,8,Manawatu-Wanganui Region
52,593700,Linwood East,66,2190,301,5.8,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
53,527402,Huntly East,66,4540,145,2.8,217,Huntly,Minor urban area,13,Waikato District,3,Waikato Region
54,524603,Puhinui South,65,3110,209,4,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
55,536831,Arataki,65,5510,118,2.3,9,Tauranga,Main urban area,23,Tauranga City,4,Bay of Plenty Region
56,578600,Masterton Central,64,640,"1,000",19.1,109,Masterton,Secondary urban area,48,Masterton District,9,Wellington Region
57,511100,Glen Eden East,64,7570,85,1.6,3,Western Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
58,542800,Opotiki,63,4130,153,2.9,241,Opotiki,Minor urban area,27,Opotiki District,4,Bay of Plenty Region
59,590800,Riccarton,63,4610,137,2.6,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
60,510800,Henderson South,63,5060,125,2.4,3,Western Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
61,525610,Papakura East,60,6770,89,1.7,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
62,542600,Kawerau,59,6660,89,1.7,239,Kawerau,Minor urban area,26,Kawerau District,4,Bay of Plenty Region
63,542410,Whakatane North,57,3240,176,3.4,104,Whakatane,Secondary urban area,25,Whakatane District,4,Bay of Plenty Region
64,524822,Clendon South,57,5560,103,2,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
65,508010,Takapuna Central,56,3390,165,3.2,2,Northern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
66,587400,Hornby North,56,3480,161,3.1,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
67,523912,Takanini South,56,5630,99,1.9,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
68,567100,Upper Hutt Central,54,330,"1,636",31.3,17,Upper Hutt Zone,Main urban area,45,Upper Hutt City,9,Wellington Region
69,564220,Levin West,54,2810,192,3.7,107,Levin,Secondary urban area,42,Horowhenua District,8,Manawatu-Wanganui Region
70,521902,Middlemore,53,110,"4,818",92.1,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
71,514302,Grafton East,53,1290,411,7.9,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
72,525922,Bledisloe Park,53,3130,169,3.2,101,Pukekohe,Secondary urban area,76,Auckland,2,Auckland Region
73,593501,Linwood,53,4940,107,2.1,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
74,544801,Kaiti South,52,2940,177,3.4,11,Gisborne,Main urban area,28,Gisborne District,5,Gisborne Region
75,587904,West Melton,52,8470,61,1.2,502,Rural (Incl.some Off Shore Islands),Rural area,62,Selwyn District,13,Canterbury Region
76,545842,Bridge Pa,51,1240,411,7.9,13,Hastings Zone,Main urban area,30,Hastings District,6,Hawke's Bay Region
77,523711,Rongomai,50,5210,96,1.8,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
78,546700,Maraenui,49,3350,146,2.8,12,Napier Zone,Main urban area,31,Napier City,6,Hawke's Bay Region
79,500301,Kaitaia West,49,3540,138,2.6,202,Kaitaia,Minor urban area,1,Far North District,1,Northland Region
80,536810,Mt Maunganui North,49,4360,112,2.1,9,Tauranga,Main urban area,23,Tauranga City,4,Bay of Plenty Region
81,603602,Otago University,49,5280,93,1.8,23,Dunedin,Main urban area,71,Dunedin City,14,Otago Region
82,539100,Western Heights,48,3840,125,2.4,10,Rotorua,Main urban area,24,Rotorua District,4,Bay of Plenty Region
83,530200,Hamilton East,48,4280,112,2.1,6,Hamilton Zone,Main urban area,16,Hamilton City,3,Waikato Region
84,535350,Tokoroa Central,47,790,595,11.4,102,Tokoroa,Secondary urban area,19,South Waikato District,3,Waikato Region
85,508701,Albany,47,3710,127,2.4,2,Northern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
86,548620,Flaxmere East,47,4090,115,2.2,13,Hastings Zone,Main urban area,30,Hastings District,6,Hawke's Bay Region
87,522100,Papatoetoe West,47,6340,74,1.4,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
88,524301,Mangere East,47,6500,72,1.4,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
89,597840,Ashburton Central East,46,1780,258,4.9,112,Ashburton,Secondary urban area,63,Ashburton District,13,Canterbury Region
90,530000,Enderley,45,4660,97,1.8,6,Hamilton Zone,Main urban area,16,Hamilton City,3,Waikato Region
91,544300,Te Hapara,45,4710,96,1.8,11,Gisborne,Main urban area,28,Gisborne District,5,Gisborne Region
92,546600,Marewa,45,4940,91,1.7,12,Napier Zone,Main urban area,31,Napier City,6,Hawke's Bay Region
93,540420,Victoria,44,1890,233,4.5,10,Rotorua,Main urban area,24,Rotorua District,4,Bay of Plenty Region
94,548500,Camberley,44,2110,209,4,13,Hastings Zone,Main urban area,30,Hastings District,6,Hawke's Bay Region
95,525420,Papakura North,44,2640,167,3.2,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
96,515420,Grey Lynn East,44,3700,119,2.3,4,Central Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
97,522201,Papatoetoe North,44,6120,72,1.4,5,Southern Auckland Zone,Main urban area,76,Auckland,2,Auckland Region
98,556800,Laird Park,43,2250,191,3.7,15,Wanganui,Main urban area,37,Wanganui District,8,Manawatu-Wanganui Region
99,545500,Wairoa,43,4260,101,1.9,242,Wairoa,Minor urban area,29,Wairoa District,6,Hawke's Bay Region
100,593502,Phillipstown,43,4300,100,1.9,22,Christchurch,Main urban area,60,Christchurch City,13,Canterbury Region
